бараа_дугаар,ангилал,бүлэг,брэнд,одоогийн_үнэ,суурь_үнэ,өртөг,санал_болгох_үнэ,өөрчлөлтийн_дүн,өөрчлөлтийн_хувь,үйлдэл,яаралтай,ашгийн_хувь,ашгийн_ангилал,эрэлтийн_түвшин,сарын_дундаж_тоо,нийт_тоо,идэвхтэй_сар,шалтгаан
Item_1,Category_49,Group_2,Brand_7,40101,40931,22668,41750,1648,4.1,Үнэ нэмэх,Дунд,43.7,Сайн ашиг,Өндөр,55.2,718,13,"Эрэлт маш өндөр (55 ш/сар), ашиг сайн (43.7%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_10,Category_5,Group_18,Brand_37,19353,19990,10470,17030,-2323,-12.0,Үнэ бууруулах,Дунд,46.5,Сайн ашиг,Дунд,2.6,26,10,178 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_100,Category_18,Group_9,Brand_99,26878,26990,22536,26880,0,0.0,Өөрчлөхгүй,Бага зэрэг,16.1,Бага ашиг,Дунд,4.0,12,3,"Одоогийн үнэ тохиромжтой: 16.1% ашиг, дунд эрэлт"
Item_1000,Category_124,Group_20,Brand_93,12672,13263,6037,11150,-1521,-12.0,Үнэ бууруулах,Дунд,52.4,Сайн ашиг,Дунд,2.4,22,9,154 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1001,Category_23,Group_10,Brand_16,16065,24990,11379,14140,-1925,-12.0,Үнэ бууруулах,Дунд,29.2,Дунд ашиг,Дунд,2.3,7,3,204 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1002,Category_3,Group_21,Brand_15,9749,9990,3899,8580,-1169,-12.0,Үнэ бууруулах,Дунд,67.2,Сайн ашиг,Дунд,3.2,38,12,151 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1005,Category_27,Group_10,Brand_82,49726,50776,22960,43760,-5966,-12.0,Үнэ бууруулах,Дунд,53.8,Сайн ашиг,Дунд,14.4,187,13,143 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1006,Category_91,Group_21,Brand_162,3500,3500,4420,4860,1360,38.9,Үнэ нэмэх,Яаралтай,-26.3,Алдагдалтай,Бага,1.6,8,5,"Алдагдалтай зарагдаж байна (-26.3%) | Өртөгт суурилсан доод үнэ: 5,083₮ | ⚠️ Өртгийн доод хязгаар хэрэгжлээ: 4,420₮"
Item_1008,Category_61,Group_13,Brand_36,29990,29990,15412,27890,-2100,-7.0,Үнэ бууруулах,Дунд,48.6,Сайн ашиг,Бага,1.0,1,1,"Эрэлт бага (1.0 ш/сар), ашиг бууруулахыг зөвшөөрнө (48.6%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1009,Category_51,Group_2,Brand_22,36100,36990,15821,31770,-4329,-12.0,Үнэ бууруулах,Дунд,56.5,Сайн ашиг,Өндөр,31.5,410,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
